Lake;Region;Class
894;North;1
895;North;1
896;North;1
897;North;1
898;North;1
899;North;1
900;North;1
901;North;1
902;North;1
903;North;1
904;North;1
905;North;1
906;North;1
907;North;1
908;North;1
909;North;1
910;North;1
911;North;1
912;North;1
913;North;1
914;North;1
915;North;1
916;North;1
917;North;1
918;North;1
919;North;1
920;North;1
921;North;1
922;North;1
923;North;1
924;North;1
925;North;1
926;North;1
927;North;1
928;North;1
929;North;1
930;North;1
931;North;1
932;North;1
933;North;1
934;North;1
935;North;1
936;North;1
937;North;1
938;North;1
939;North;1
940;North;1
941;North;1
942;North;1
943;North;1
944;North;1
945;North;1
946;North;1
947;North;1
948;North;1
949;North;1
950;North;1
951;North;1
952;North;1
953;North;1
954;North;1
955;North;1
956;North;1
957;North;1
958;North;1
959;North;1
960;North;1
961;North;1
962;North;1
963;North;1
964;North;1
965;North;1
966;North;1
967;North;1
968;North;1
969;North;1
970;North;1
971;North;1
972;North;1
973;North;1
974;North;1
975;North;1
976;North;1
977;North;1
978;North;1
979;North;1
980;North;1
981;North;1
982;North;1
983;North;1
984;North;1
985;North;1
986;North;1
987;North;1
988;North;1
989;North;1
990;North;1
991;North;1
992;North;1
993;North;1
994;North;1
995;North;1
996;North;1
997;North;1
998;North;1
999;North;1
1000;North;1
1001;North;1
1002;North;1
1003;North;1
1004;North;1
1005;North;1
1006;North;1
1007;North;1
1008;North;1
1009;North;1
1010;North;1
1011;North;1
1012;North;1
1013;North;1
1014;North;1
1015;North;1
1016;North;1
1017;North;2
1018;North;2
1019;North;2
1020;North;2
1021;North;2
1022;North;2
1023;North;2
1024;North;2
1025;North;2
1026;North;2
1027;North;2
1028;North;2
1029;North;2
1030;North;2
1031;North;2
1032;North;2
1033;North;2
1034;North;2
1035;North;2
1036;North;2
1037;North;2
1038;North;2
1039;North;2
1040;North;2
1041;North;2
1042;North;2
1043;North;2
1044;North;2
1045;North;2
1046;North;2
1047;North;2
1048;North;2
1049;North;2
1050;North;2
1051;North;2
1052;North;2
1053;North;2
1054;North;2
1055;North;2
1056;North;2
1057;North;2
1058;North;2
1059;North;2
1060;North;2
1061;North;2
1062;North;2
1063;North;2
1064;North;2
1065;North;2
1066;North;2
1067;North;2
1068;North;2
1069;North;2
1070;North;2
1071;North;2
1072;North;2
1073;North;2
1074;North;2
1075;North;2
1076;North;2
1077;North;2
1078;North;2
1079;North;2
1080;North;2
1081;North;2
1082;North;2
1083;North;2
1084;North;2
1085;North;2
1086;North;2
1087;North;2
1088;North;2
1089;North;2
1090;North;2
1091;North;2
1092;North;2
1093;North;2
1094;North;2
1095;North;2
1096;North;2
1097;North;2
1098;North;2
1099;North;2
1100;North;2
1101;North;2
1102;North;2
1103;North;2
1104;North;2
1105;North;2
1106;North;2
1107;North;2
1108;North;2
1109;North;2
1110;North;2
1111;North;2
1112;North;2
1113;North;2
1114;North;2
1115;North;2
1116;North;2
1117;North;2
1118;North;2
1119;North;2
1120;North;2
1121;North;2
1122;North;2
1123;North;2
1124;North;2
1125;North;2
1126;North;2
1127;North;2
1128;North;2
1129;North;2
1130;North;2
1131;North;2
1132;North;2
1133;North;2
1134;North;2
1135;North;2
1136;North;2
1137;North;2
1138;North;2
1139;North;2
1140;North;2
1141;North;2
1142;North;2
1143;North;2
1144;North;2
1145;North;2
1146;North;2
1147;North;2
1148;North;2
1149;North;2
1150;North;2
1151;North;2
1152;North;2
1153;North;2
1154;North;2
1155;North;2
1156;North;2
1157;North;2
1158;North;2
1159;North;2
